date,nav,cash,u_notional,s_notional,borrow_cost,rebalance_friction
2025-04-09,1089994.963739724,1166294.9852660645,-25433.340508780224,-50866.68101756045,8.834260211038442,5.3437794287169345
2025-04-10,1090797.5672450983,1166285.449995111,-34371.62716147161,-41116.25558854109,9.535270953603847,0.0
2025-04-11,1091616.16722102,1168030.007481537,-25471.280086839033,-50942.56017367806,9.453536350851214,10.122214938747295
2025-04-14,1091613.6718438657,1168019.9756840118,-19569.169346675986,-56837.13449347017,10.031797525273861,0.0
2025-04-15,1091394.9507726536,1167793.132871386,-25466.060699577458,-50932.121399154916,10.06882708943098,7.650637808976203
2025-04-16,1091108.1780810985,1167783.315122114,-29611.81568130985,-47063.32135970566,9.817749271948358,0.0
2025-04-17,1091408.9669593712,1167807.810955899,-25466.281332175964,-50932.56266435193,9.814282275821432,3.0901338845776323
2025-04-21,1091410.4124009698,1167798.0061535782,-28545.92354383913,-47841.670208769385,9.8048023209894,0.0
2025-04-22,1092296.1366274944,1168756.9069002462,-25486.92342425058,-50973.84684850117,9.775488228046052,0.581554673741894
2025-04-23,1092188.2758980289,1168746.9549795126,-23603.514172826784,-52955.16490865682,9.951920733486794,0.0
2025-04-24,1092004.8604358179,1168445.5112530885,-25480.216939090173,-50960.43387818035,10.017118045603361,4.436953761114074
2025-04-25,1092090.3244638056,1168435.5840509078,-23416.75525859313,-52928.504328508774,9.927202180727377,0.0
2025-04-28,1091957.988900608,1195062.4548743088,-36663.90412326588,-66440.56185043512,9.933960163473731,15.991677876864866
2025-04-29,1092007.240888129,1195049.1640480077,-35915.31837541692,-67126.60478446161,13.29082630112166,0.0
2025-04-30,1092104.698983618,1207464.9312654,-42319.74110413461,-73040.49117764735,13.233973247236456,7.46187784108834
2025-05-01,1092018.18669932,1207450.0653142605,-41153.41281997629,-74278.46579496411,14.865951139573735,0.0
2025-05-02,1092431.4555473563,1207435.1739271479,-37777.694507599204,-77226.02387219251,14.89138711262261,0.0
2025-05-05,1092932.0450743134,1213325.6092676783,-44737.56742588573,-75655.99676747926,14.787218214208298,3.5452606916617824
2025-05-06,1092073.8641796256,1213310.1183232958,-48123.81498333911,-73112.43916033125,15.49094438250129,0.0
2025-05-07,1092803.9761947852,1213294.6611237663,-45367.061208692634,-75123.62372028845,15.457199529447937,0.0
