symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
OSCX,0.0,-2186.2848,-2186.2848,2186.2848,0.0,2186.2848,2186.2848,False
CRWU,-4602.700123828484,-6556.96,-1954.2598761715162,1954.2598761715162,4602.700123828484,6556.96,1954.2598761715162,False
BMNG,-5397.639774785644,-3471.6,1926.0397747856437,1926.0397747856437,5397.639774785644,3471.6,-1926.0397747856437,True
HOYY,-80921.67880668827,-82813.72499999999,-1892.0461933117185,1892.0461933117185,80921.67880668827,82813.72499999999,1892.0461933117185,False
SRPU,0.0,-1800.81,-1800.81,1800.81,0.0,1800.81,1800.81,False
STXL,-1781.8844033338073,0.0,1781.8844033338073,1781.8844033338073,1781.8844033338073,0.0,-1781.8844033338073,True
MUU,-1932.347616283148,-3694.9500000000003,-1762.6023837168523,1762.6023837168523,1932.347616283148,3694.9500000000003,1762.6023837168523,False
RGTX,-5925.526580624763,-4192.2,1733.3265806247628,1733.3265806247628,5925.526580624763,4192.2,-1733.3265806247628,True
ONDG,-4157.177034490411,-5875.35,-1718.1729655095896,1718.1729655095896,4157.177034490411,5875.35,1718.1729655095896,False
HLXX,0.0,-1686.72,-1686.72,1686.72,0.0,1686.72,1686.72,False
CSEX,-5466.179965409218,-3825.8,1640.3799654092181,1640.3799654092181,5466.179965409218,3825.8,-1640.3799654092181,True
QUBX,-5576.641193272138,-4004.52,1572.1211932721376,1572.1211932721376,5576.641193272138,4004.52,-1572.1211932721376,True
CRCG,-3714.2601441605343,-5283.04,-1568.7798558394657,1568.7798558394657,3714.2601441605343,5283.04,1568.7798558394657,False
BLSG,0.0,-1536.0,-1536.0,1536.0,0.0,1536.0,1536.0,False
LRCU,0.0,-1535.6999999999998,-1535.6999999999998,1535.6999999999998,0.0,1535.6999999999998,1535.6999999999998,False
EWV,0.0,-1500.3000000000002,-1500.3000000000002,1500.3000000000002,0.0,1500.3000000000002,1500.3000000000002,False
GLXU,-3308.031428457865,-4796.05,-1488.0185715421353,1488.0185715421353,3308.031428457865,4796.05,1488.0185715421353,False
HUTG,-5820.683509301815,-7284.067499999999,-1463.3839906981839,1463.3839906981839,5820.683509301815,7284.067499999999,1463.3839906981839,False
BMNU,-5832.214826272932,-4407.36,1424.8548262729328,1424.8548262729328,5832.214826272932,4407.36,-1424.8548262729328,True
GLGG,-1109.724552839397,-2532.288,-1422.5634471606031,1422.5634471606031,1109.724552839397,2532.288,1422.5634471606031,False
PLU,-2612.591893162563,-4005.0,-1392.4081068374371,1392.4081068374371,2612.591893162563,4005.0,1392.4081068374371,False
CRCA,-2931.576226349868,-4302.72,-1371.143773650132,1371.143773650132,2931.576226349868,4302.72,1371.143773650132,False
IRE,-7690.618225654643,-6320.79,1369.8282256546427,1369.8282256546427,7690.618225654643,6320.79,-1369.8282256546427,True
ROBN,-1108.0360264797484,-2412.935,-1304.8989735202515,1304.8989735202515,1108.0360264797484,2412.935,1304.8989735202515,False
USGG,-6719.464594023306,-5416.8,1302.6645940233057,1302.6645940233057,6719.464594023306,5416.8,-1302.6645940233057,True
